market,funding_rounds.mn,funding_rounds.var,funding_total_usd.mn,funding_total_usd.var,venture.mn,venture.var,seed.mn,seed.var,n
 Software ,1.943014706,2.082268425,12483470.5,1.89946E+15,8954448.831,5.82369E+14,237938.795,5.67506E+11,2176
 Biotechnology ,2.39139902,3.409359534,22630003.15,4.81693E+15,15562228.48,9.30008E+14,99499.28144,2.18294E+11,1837
 Mobile ,2.249676585,3.021777745,11930321.4,7.67912E+14,9454029.538,4.84327E+14,330560.3092,6.25386E+11,773
 Enterprise Software ,2.458208955,3.175380943,20817718.84,6.87913E+15,15891247.75,9.23559E+14,226175.3224,4.08089E+11,670
 Curated Web ,1.817619784,1.619936741,7890332.434,1.17287E+15,6865636.739,1.14697E+15,390925.6074,1.56234E+12,647
 Health Care ,2.755942948,3.984786054,32523566.78,3.51653E+15,21242250.28,1.29177E+15,242982.2108,6.4611E+11,631
 E-Commerce ,2.045028143,2.554359633,14642931.54,3.15134E+15,11027097.72,2.07109E+15,450162.5535,1.0004E+12,533
 Hardware + Software ,2.021400778,2.145739944,13422182.8,8.76251E+14,10224721.4,4.269E+14,163174.9922,3.24974E+11,514
 Health and Wellness ,1.793814433,1.697069098,16198088.35,1.49335E+16,6907785.171,4.68518E+14,280842.2825,6.17397E+11,485
 Advertising ,2.365957447,2.957474028,19419985,3.91667E+15,16152989.3,3.43035E+15,363347.866,1.95972E+12,470
 Clean Technology ,2.6,4.2359447,47885140.05,1.37342E+16,29634032.01,4.79556E+15,140321.9471,5.07342E+11,435
 Games ,1.979328165,1.667965351,11482210.91,1.37191E+15,8700395.313,4.50794E+14,261206.6047,4.4236E+11,387
 Analytics ,2.504731861,3.117857285,21838768.71,7.73915E+15,17904304.81,5.17492E+15,375666.918,7.7967E+11,317
 Finance ,2.180379747,1.995931284,17807273.45,2.49361E+15,9695624.415,3.40172E+14,341070.6677,7.80238E+11,316
 Education ,1.898412698,1.855889192,7477841.806,3.38097E+14,5130142.343,2.53884E+14,337045.3302,6.11579E+11,315
 Social Media ,1.853820598,1.438560354,5180874.791,1.24599E+14,4388554.897,1.09216E+14,316950.8339,3.78168E+11,301
 Security ,2.22,2.31686747,16624093.4,6.3253E+14,13364638.41,4.82721E+14,208172.104,3.57642E+11,250
 Manufacturing ,1.991935484,2.858234295,18961317.25,1.0631E+16,11452563.29,2.31161E+15,123011.3105,3.63879E+11,248
 Semiconductors ,2.787878788,4.724374177,32526099.46,2.11662E+15,27353782.45,1.05235E+15,62725.97403,1.0978E+11,231
